"brokerage_name","apartment_id","latitude","longitude","date_available","bedrooms","beds_count","bathrooms","rent","city","state","area","neighborhood","metro_id","neighborhood_id","sub_neighborhood_id","metro_name","nbhd_name","sub_nbhd_name","source","zip","address","apply_token_url","exclusive_by","mls_id","status","hide_rb_cp","hide_partner_cp","is_featured","match_type","Scrape_Date"
"",2491229,42.3436691,-71.1019491,"2018-11-13",0,0,1,3225,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","200 Brookline Avenue","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",1896301,42.3436691,-71.1019491,"2018-11-13",0,0,1,3375,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Office","02215","200 Brookline Avenue","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",1896305,42.3436691,-71.1019491,"2018-11-13",1,1,1,3920,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","200 Brookline Avenue","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",88704,42.349918,-71.09481,"2018-11-13",4,4,2,4700,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16783,"","Fenway - Kenmore - Audubon Circle - Longwood",16783,"Office","02215","43 Bay State Road","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2324616,42.344518,-71.099107,"2018-11-13",1,1,1,3565,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","1325 Boylston Street Boston","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2324618,42.344518,-71.099107,"2018-11-13",1,1,1,3956,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","1325 Boylston Street Boston","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2468237,42.3442914,-71.1008899,"2018-11-13",2,2,2,5158,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","180 Brookline Avenue","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2580372,42.3444208,-71.0983795,"2018-11-13",1,1,1,3855,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","1330 Boylston Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",1308311,42.3442914,-71.1008899,"2018-11-13",2,2,2,5358,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","180 Brookline Avenue","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2536601,42.344518,-71.099107,"2018-11-13",1,1,1,3685,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","1325 Boylston Street Boston","","","","Active",0,0,FALSE,"exact","13-11-2018"
